Category,Prompt_Name,Use_Case,Prompt_Text
Email,Cold Outreach – Short,Direct sales intro,"You are a concise sales copywriter. Write a cold email to {ideal_customer_description} who struggles with {pain_point}. Keep it under 120 words, no fluff, no corporate jargon, 1 clear CTA to {desired_action}. Use my tone: {describe_your_tone}."
Email,Follow-up with Value,Second touch,"Write a follow-up email to someone who didn’t reply to my last message about {offer}. Include one helpful insight or tip about {topic}, then briefly restate the offer and ask a low-friction question to move the conversation forward."
Email,"Breakup" Email,Ghosted prospects,"Write a polite ‘breakup’ sales email to a prospect who hasn’t replied after 3 touches about {offer}. Keep it respectful, slightly humorous, under 80 words, and include an easy ‘Yes/No’ style line at the end."
Email,Warm Referral Ask,Referral request,"Write an email to a happy client {client_type} asking if they know 1–2 people who might benefit from {offer}. Keep it genuine, not needy, and mention the specific result we achieved: {result}."
Email,Testimonial Request,Collecting testimonials,"Write a short email asking a client for a testimonial about {service}. Include 3 bullet-point prompts they can answer instead of writing from scratch."
Email,Meeting Recap,Post-call summary,"Draft a meeting recap email summarizing these notes: {paste_notes}. Include: Decisions, Action Items (with owners & dates), Risks/Questions, and Next Steps. Make it skimmable."
Email,Churned Lead Revisit,Reawakening cold leads,"Write an email to a past lead who didn’t move forward with {offer} due to {objection}. Reference the objection, share what’s changed or a new angle, and invite a quick 15-minute catch-up."
Email,Partnership Outreach,Collaboration pitch,"Write a partnership pitch email to {company_type}. Goal: propose a collaboration where we {value_proposition}. Make it specific, mutually beneficial, and under 150 words."
Email,Launch Announcement,Product launch,"Write an email announcing the launch of {product} to my list of {audience_description}. Use: Hook, What it is, Who it’s for, 3 key benefits, How to get it, Simple CTA."
Email,Winback Past Customers,Reactivations,"Write an email to past customers of {product_or_service} inviting them back with a special upgrade or bonus. Tone: appreciative, not desperate. Include one sentence reminding them of the value they got last time."
Content,Content Idea Generator,Brainstorm,"You are a content strategist. Generate 20 content ideas for {audience} around {topic}, grouped in 4 themes: awareness, problem, solution, transformation. Return as a table with columns: Title, Format, Hook Angle."
Content,Deep-Dive Article Outline,Long-form outline,"Create a detailed blog outline (H1–H3) on {topic} for {audience}. Focus on practical, non-generic insight. Avoid fluff."
Content,Carousel Script,Social carousel,"Write a 7-slide social carousel script teaching {concept}. Slide 1: bold hook. Slides 2–6: step-by-step. Slide 7: recap + CTA."
Content,Tweet Pack,Short posts,"Write 10 short posts (max 220 characters each) about {topic} with a mix of hot takes, practical tips, and mini-stories. No hashtag stuffing."
Content,Case Study Skeleton,Case study structure,"Turn this client result {brief_notes} into a case study structure: Context, Problem, Approach, Implementation, Results (numbers), Takeaways."
Content,Landing Page Wireframe,Landing copy,"Create a landing page copy outline for {offer} aimed at {audience}. Sections: Hero, Problem, Solution, Proof, Offer, FAQ, Final CTA. Provide headers + bullet copy."
Content,Lead Magnet Outline,Lead magnet,"Outline a 5–7 page PDF lead magnet that helps {audience} solve {specific_problem}. Include title options, section breakdown, and 3 quick-win ideas."
Content,Thought Leadership Post,Opinion piece,"Write a 600–800 word opinion piece on why {industry_norm} is broken and what should replace it for {audience}. Tone: strong but constructive, with clear examples."
Content,Repurpose Long-form to Short-form,Repurposing,"Summarize this long article into 5 social posts with unique angles and hooks: {paste_article}."
Content,FAQ Builder,FAQ creation,"Based on this product description {description}, create 10 FAQs with concise, reassuring answers that address hidden objections."
Content,Comparison Post,Comparison,"Write a comparison between {Option_A} and {Option_B} for {audience}. Use a table with columns: Factor, Option A, Option B, Best For."
Content,Origin Story,Founder story,"Turn these bullet notes {founder_notes} into a founder story that explains why I built {product_or_company} in a non-cringey way. Keep under 900 words."
Content,Email-to-Blog Expansion,Repurpose email,"Expand this email into a full blog post with intro, 3–5 key sections, and conclusion: {email_text}."
Content,Myth-busting Post,Myth busting,"Write a post titled ‘{industry} Myths That Keep You Broke/Busy/Stuck’ with 5 myths, each with: Myth, Why it’s wrong, What to do instead."
Content,Content Pillar Map,Content strategy,"Create a content pillar map for my brand: {brand_description}. Return 4–6 pillars, each with 5 supporting subtopics."
Code,Refactor for Clarity,Improve readability,"Refactor this {language} function to be more readable and maintainable. Add brief inline comments only where reasoning is non-obvious: {code}."
Code,Add Basic Tests,Unit tests,"Generate unit tests for this function using {test_framework}. Cover typical, edge, and error cases: {code}."
Code,Explain Like I’m New,Code explanation,"Explain what this code does line by line in plain language and then summarize the overall purpose: {code}."
Code,Performance Review,Performance analysis,"Review this code for performance hotspots and suggest concrete optimizations: {code}."
Code,API Contract Clarifier,Type definitions,"Given this API response example {json}, design a clean TypeScript interface/type definition and suggest naming & structure improvements."
Code,Error Message Improve,UX copy,"Rewrite these error messages to be clear, human-readable, and helpful: {error_messages}."
Code,Migration Plan,Migration strategy,"Create a step-by-step migration plan to move from {tech_stack_A} to {tech_stack_B} for an app that does {short_description}."
Code,Data Model Design,Schema design,"Design a relational database schema for an app that does {description}. Output: tables, key fields, relationships, and notes."
Code,Code Review Checklist,Checklist,"Create a short code review checklist tailored to {language_or_stack} focusing on correctness, security, readability, and performance."
Code,Prompt for Tools,Boilerplate prompt,"Create a prompt that helps an AI assistant reliably generate boilerplate {framework} components using our conventions: {brief_conventions}."
Customer Service,Tone Normalizer,Tone adjustment,"Rewrite this support reply in a calm, empathetic, but firm tone while keeping the core message: {draft_reply}."
Customer Service,Macro Builder,Support macros,"Create 10 reusable support macros for {product} covering refund request, feature request, bug report, confused user, outage, upgrade, downgrade, billing issue, login issue, and 'not a good fit'."
Customer Service,De-escalation Reply,Handle angry customer,"Write a response to an angry customer who experienced {issue}. Include acknowledgement, apology, immediate fix, prevention, and next step."
Customer Service,Internal Summary,Internal handoff,"Summarize this long support thread into 5 bullet points for the dev team, highlighting root cause and requested fixes: {thread_text}."
Customer Service,Self-Serve Help Article,Help doc,"Write a help center article that explains how to {task} in {product}. Include screenshot placeholders and troubleshooting."
Customer Service,Refund Policy Clarifier,Policy explanation,"Explain our refund policy in plain language to a customer considering buying {product}. Assume policy: {policy_rules}."
Customer Service,Feature Request Response,Not committing,"Write a reply to a feature request that we cannot commit to yet, but want to acknowledge and log. Keep it honest."
Customer Service,Onboarding Sequence,Onboarding emails,"Draft a 4-email onboarding sequence for new users of {product}. Each email: subject, goal, main tip, CTA."
Customer Service,Upsell From Support,Light upsell,"Write a support reply that solves this problem {issue} and subtly recommends {higher_plan_or_addon} as a way to avoid it in future."
Customer Service,Bug Acknowledgement Template,Bug reply,"Create a template for acknowledging a reported bug, including what we know, how to reproduce, status, and expectation setting."
Customer Service,Churn Survey Prompt,Churn survey,"Write 3 short questions for a ‘sorry to see you go’ survey that yields useful feedback for {product}."
Customer Service,Internal Tagging System,Ticket taxonomy,"Design a tagging system for support tickets for {product} to track common issues and churn risks. Include tag names and usage rules."
Customer Service,Multi-channel Tone Guide,Tone guide,"Create a tone-of-voice guide for support across email, chat, social replies. Brand style: {tone_description}."
Customer Service,Macros to Snippets Conversion,Snippet library,"Turn these long macros {macro_text} into short reusable snippets we can combine quickly in live chat."
Customer Service,Priority Scoring,Ticket triage,"Create a simple priority scoring model for tickets based on impact, scope, customer segment, and urgency. Explain scoring rules."
